BHCMIS.ID,ClinicName,STATE,CHC,MHC,HO,PH,Year,GranteeID,LongGrantID,ModernGranteeID
010030,HOLYOKE HEALTH CARE EXPANSION PR,MA,1,0,0,0,1996,NA,NA,NA
010030,HOLYOKE HEALTH CARE EXPANSION PR,MA,1,0,0,0,1997,NA,NA,NA
010030,HOLYOKE HEALTH CARE EXPANSION ,MA,1,0,0,0,1998,NA,NA,NA
010030,HOLYOKE HEALTH CARE EXPANSION PR,MA,1,0,0,0,1999,NA,NA,NA
010030,"HOLYOKE HEALTH CENTER, INC.",MA,1,0,0,0,2000,1342,NA,NA
010030,"HOLYOKE HEALTH CENTER, INC.",MA,1,0,0,0,2001,1109,NA,NA
010030,"HOLYOKE HEALTH CENTER, INC.",MA,1,0,0,0,2002,1203,NA,NA
010030,"HOLYOKE HEALTH CENTER, INC.",MA,1,0,0,0,2003,1341,NA,NA
010030,"Holyoke Health Center, Inc.",MA,1,0,0,0,2004,1392,NA,NA
010030,"Holyoke Health Center, Inc.",MA,1,0,0,0,2005,1317,NA,NA
010030,"Holyoke Health Center, Inc.",MA,1,0,0,0,2006,2664,NA,NA
010030,"Holyoke Health Center, Inc.",MA,1,0,0,0,2007,1838,NA,NA
010030,"HOLYOKE HEALTH CENTER, INC.",MA,1,0,0,0,2008,299,NA,NA
010030,"HOLYOKE HEALTH CENTER, INC.",MA,1,0,0,0,2009,312,541EB689-16D6-46B5-8A62-433AFD1BF332,NA
010030,"HOLYOKE HEALTH CENTER, INC.",MA,1,0,0,0,2010,1432,541EB689-16D6-46B5-8A62-433AFD1BF332,NA
010030,"HOLYOKE HEALTH CENTER, INC.",MA,TRUE,FALSE,FALSE,FALSE,2011,NA,NA,H80CS00803
010040,"RURAL CH CTRS OF ME, INC",ME,1,1,0,0,1996,NA,NA,NA
010040,"RURAL CH CTRS OF ME, INC",ME,1,1,0,0,1997,NA,NA,NA
010040,"RURAL CH CTRS OF ME, INC",ME,1,1,0,0,1998,NA,NA,NA
010040,"RURAL CH CTRS OF ME, INC",ME,1,1,0,0,1999,NA,NA,NA
010040,"RURAL HC CTRS OF ME, INC - Maine Migrant Health Program",ME,0,1,0,0,2000,1128,NA,NA
010040,"RURAL HC CTRS OF ME, INC - Maine Migrant Health Program",ME,0,1,0,0,2001,1468,NA,NA
010040,"RURAL HC CTRS OF ME, INC - Maine Migrant Health Program",ME,0,1,0,0,2002,1013,NA,NA
010040,"MAINE MIGRANT HEALTH PROGRAM, INC.",ME,0,1,0,0,2003,1062,NA,NA
010040,"ME Migrant Health Program, Inc.",ME,0,1,0,0,2004,1186,NA,NA
010040,Maine Migrant Health Program,ME,0,1,0,0,2005,1127,NA,NA
010040,Maine Migrant Health Program,ME,0,1,0,0,2006,2219,NA,NA
010040,Maine Migrant Health Program,ME,0,1,0,0,2007,1540,NA,NA
010040,"MAINE MIGRANT PROGRAMS, INC.",ME,0,1,0,0,2008,642,NA,NA
010040,"MAINE MIGRANT PROGRAMS, INC.",ME,0,1,0,0,2009,673,85CF14F3-9C7B-41CF-82B2-961025A3411C,NA
010040,"MAINE MIGRANT PROGRAMS, INC.",ME,0,1,0,0,2010,1790,85CF14F3-9C7B-41CF-82B2-961025A3411C,NA
010040,"MAINE MIGRANT PROGRAMS, INC.",ME,FALSE,TRUE,FALSE,FALSE,2011,NA,NA,H80CS00443
